,hotel_name,rating,room_description,price,location_descirption,long_description,Unnamed: 0_y,price_week_before
177,Zenit Borrell,7.9,"Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation
Only 5 rooms left at this price on our site","€ 1,401","Eixample, BarcelonaShow on map1.6 km from centreMetro access","Zenit Borrell is located in Barcelona’s Eixample district, 15 minutes’ walk from the stylish Passeig de Gràcia Boulevard. It offers modern, soundproofed rooms with free Wi-Fi and satellite TV.

The Marés restaurant offers Mediterranean and international cuisine, and has an elegant outdoor terrace. There is also a bar with a large TV screen.

All rooms at the Zenit Borrell have air conditioning and a minibar. The private bathrooms come equipped with a hairdryer.

The tour desk can provide useful information on Barcelona and the surrounding area. The hotel is 12 minutes from Plaza Catalunya and the Ramblas by metro, while the Hospital Clinic Metro Station and hospital are 200 metres way from the hotel.",410.0,"€ 1,130"
180,BcnStop Sant Pau Suites,9.3,"Studio
Entire studio • 1 bathroom • 1 kitchen • 35m²
1 large double bed
Only 1 left at this price on our site","€ 1,871","Sant Martí, BarcelonaShow on map2.7 km from centreMetro accessBeach nearby","Boasting a terrace and views of quiet street, BcnStop Sant Pau Suites is a recently renovated apartment situated in Barcelona, 3 km from Nova Icaria Beach. There is a private entrance at the apartment for the convenience of those who stay. The apartment has family rooms.

All units in the apartment complex are fitted with air conditioning, a seating area, a flat-screen TV with satellite channels, a kitchen, a dining area and a private bathroom with a shower. Free WiFi is accessible to all guests, while some rooms also boast a balcony. At the apartment complex, units have bed linen and towels.

Sightseeing tours are available in the vicinity of the property.

Sagrada Familia is less than 1 km from the apartment, while La Pedrera is 2.7 km from the property. The nearest airport is Barcelona El Prat Airport, 16 km from BcnStop Sant Pau Suites.",490.0,"€ 1,282"
181,Ilunion Bel-Art,8.1,"Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation","€ 1,535","Horta-Guinardó, BarcelonaShow on map2.6 km from centreMetro access","You're eligible for a Genius discount at Ilunion Bel-Art! To save at this property, all you have to do is sign in.
Attractively situated in the Horta-Guinardó district of Barcelona, Ilunion Bel-Art is situated 1 km from Sagrada Familia, 2.7 km from La Pedrera and 1.8 km from Park Güell. Featuring a restaurant, the 4-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. Private parking is available on site.

The rooms at the hotel are fitted with a flat-screen TV with satellite channels and a safety deposit box. At Ilunion Bel-Art rooms include bed linen and towels.

Speaking Catalan, English, Spanish and French, staff will be happy to provide guests with practical advice on the area at the 24-hour front desk.

Casa Batllo is 3.2 km from the accommodation, while Passeig de Gracia is 3.6 km from the property. The nearest airport is Barcelona El Prat Airport, 16 km from Ilunion Bel-Art.",153.0,"€ 1,307"
182,ClassBedroom Barcelona Beach Apartments,8.0,"Studio Apartment (2 Adults) - First Floor - Calle Meer 34
Entire studio • 1 bathroom • 1 kitchen • 30m²
2 single beds
Only 1 left at this price on our site","€ 1,629","Ciutat Vella, BarcelonaShow on map2 km from centre","You're eligible for a Genius discount at ClassBedroom Barcelona Beach Apartments! To save at this property, all you have to do is sign in.
These apartments without elevator access are located in the district of Barceloneta, surrounded by seafood restaurants and set beside the city’s sandy beaches.

ClassBedroom Barcelona Beach Apartments can accommodate 2 people per apartment.  They allow families and groups of friends to enjoy independent accommodation in the heart of The Catalan capital.

The apartment's location is near to train, metro and bus services, meaning that you can easily visit the many cultural sights of this inspiring city. Las Ramblas and the lively district of El Born are only a few minutes walk away.

This historic fishing district is also a short distance from the Olympic Port.",139.0,€ 981
183,Catalonia Passeig de Gràcia 4* Sup,9.0,"Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,749","Eixample, BarcelonaShow on map350 m from centreMetro accessBeach nearby","You're eligible for a Genius discount at Catalonia Passeig de Gràcia 4* Sup! To save at this property, all you have to do is sign in.
Located next to Barcelona’s Passeig de Gracia Boulevard, Catalonia Passeig de Gràcia 4* Sup offers an outdoor pool, a free gym, a terrace, free Wi-Fi and paid private parking.

All the rooms at Catalonia Passeig de Gràcia 4* Sup has a smart TV with Chromecast app.

The restaurant offers Mediterranean cuisine with a selection of dishes from the ""Gourmet Corner"" menu. Gluten-free menus are available on request.

There is also a gastrobar and a bar with a cocktail menu. An electric vehicle charging station is available.

The property is 500 metres from Gaudí’s Casa Batlló, 200 metres from Passeig de Gràcia Metro Station, 13-minute walk from La Pedrera and 7-minute walk from Palau de la Música Catalana. Airport buses can be reached within 350 metres.

Airport buses leave from Plaza Catalunya, located 350 metres away.",123.0,"€ 1,849"
184,Acta Voraport,8.7,"Superior Double Room with View
Beds: 1 double or 2 singles
Breakfast included
Only 5 rooms left at this price on our site","€ 2,063","Sant Martí, BarcelonaShow on map2.9 km from centreMetro accessBeach nearby","Set in Barcelona, less than 1 km from Bogatell Beach, Acta Voraport offers accommodation with an outdoor swimming pool, private parking, a terrace and a restaurant. Featuring a bar, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The accommodation features an ATM, a concierge service and organising tours for guests.

At the hotel, all rooms have a desk and a flat-screen TV. Each room is equipped with a safety deposit box and some rooms also feature city views. At Acta Voraport the rooms are equipped with bed linen and towels.

A buffet breakfast is available every morning at the accommodation.

Languages spoken at the 24-hour front desk include Catalan, English, Spanish and French.

Popular points of interest near Acta Voraport include Mar Bella Beach, Nova Icaria Beach and Somorrostro Beach. The nearest airport is Barcelona El Prat Airport, 15 km from the hotel.",13.0,"€ 1,606"
185,H10 Art Gallery 4* Sup,8.7,"Superior Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,849","Eixample, BarcelonaShow on map1.2 km from centreMetro access","Offering a terrace with hammocks and swimming pool on the 7th floor, H10 Art Gallery is a modern hotel located in Barcelona, 350 metres from Rambla Catalunya. Free Wi-Fi access is available.

This design hotel showcases various pieces of art including paintings, lithographs and sculptures. There is a free business corner with computers, free national and international newspapers and a panoramic lift.

The elegant, air-conditioned rooms at the Art Gallery hotel come with a LED-screen TV with international channels, an iPod dock, a minibar and a laptop safe. The private bathrooms have a hairdryer and free toiletries.

A buffet breakfast made of high-quality, natural products and a range of à la carte dishes, is served every morning.

There is a stylish garden with decorative sheets of water, a bar and a restaurant on the hotel's ground floor. At H10 Art Gallery you will find a 24-hour front desk where tourist information can be provided, as well as meeting and banquet facilities.

Private parking is available for an extra cost. Provença Railway Station is 2 minutes' walk away, while Diagonal Metro Station is 400 metres away. El Prat Airport is 14 km away.

THE NIRTC LICENSE NUMBER IS : HB-004616",198.0,"€ 1,899"
187,AinB Sagrada Familia Apartments,7.8,"Studio (2 Adults)
Entire studio • 1 bathroom • 1 kitchen • 35m²
Beds: 1 double or 2 singles","€ 1,710","Eixample, BarcelonaShow on map1.3 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at AinB Sagrada Familia Apartments! To save at this property, all you have to do is sign in.
Just a 15-minute walk from Gaudí’s Sagrada Família Basilica, the stylish, air-conditioned AinB Sagrada Familia apartments offer free Wi-Fi and well-equipped kitchens. Arc de Triomf Metro Station is 250 metres away.

The bright apartments offer city views and elegant minimalist décor. Each apartment has a spacious living-dining room with flat-screen satellite TV. Kitchenettes include a hob, oven and coffee maker.

The charming Born district and Ciutadella Park are within a 10-minute walk of AinB Sagrada Familia. Las Ramblas and Barceloneta Beach can be reached within a 20-minute walk.

Estació del Nord Bus Station is just 200 metres from the apartments and offers national and international bus services, including direct buses to Girona Airport.",390.0,"€ 1,163"
188,AinB Sagrada Familia Apartments,7.8,"Studio (2 Adults)
Entire studio • 1 bathroom • 1 kitchen • 35m²
Beds: 1 double or 2 singles","€ 1,710","Eixample, BarcelonaShow on map1.3 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at AinB Sagrada Familia Apartments! To save at this property, all you have to do is sign in.
Just a 15-minute walk from Gaudí’s Sagrada Família Basilica, the stylish, air-conditioned AinB Sagrada Familia apartments offer free Wi-Fi and well-equipped kitchens. Arc de Triomf Metro Station is 250 metres away.

The bright apartments offer city views and elegant minimalist décor. Each apartment has a spacious living-dining room with flat-screen satellite TV. Kitchenettes include a hob, oven and coffee maker.

The charming Born district and Ciutadella Park are within a 10-minute walk of AinB Sagrada Familia. Las Ramblas and Barceloneta Beach can be reached within a 20-minute walk.

Estació del Nord Bus Station is just 200 metres from the apartments and offers national and international bus services, including direct buses to Girona Airport.",390.0,"€ 1,163"
189,Hostal Barcelona Travel,7.5,"Double Room
1 double bed
Free cancellation
Only 1 room left at this price on our site","€ 1,441","Eixample, BarcelonaShow on map0.8 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Hostal Barcelona Travel! To save at this property, all you have to do is sign in.
Barcelona Travel is located in a Modernist building from the XIX century in the centre of Barcelona, a little over 5 minutes' walk from Gran Vía Avenue and Plaça Universitat Square. Free WiFi access is available.

Each modern, air-conditioned room features parquet floors and a 40-inch flat-screen TV. Featuring a bath or shower, private bathrooms also come with a hairdryer and free toiletries. Bed linen and towels are provided.

Tourist information can be provided at the reception, and bikes and car rental are also available. Transportation to Barcelona El Prat Airport, located 20 minutes away by car, can be arranged.

The guest house is 850 metres from Passeig de Gracia Station, and Plaça Catalunya is 10 minutes away on foot.",124.0,"€ 1,154"
