,hotel_name,rating,room_description,price,location_descirption,long_description,price_week_before
270,Cozy Apartment Della Purificazione 68,8.4,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 55m²
2 beds (1 double, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site","€ 1,303","Via Veneto, RomeShow on map1.1 km from centreMetro access","Set in Rome, 200 metres from Piazza Barberini and 500 metres from Spanish Steps, Cozy Apartment Della Purificazione 68 provides accommodation with amenities such as free WiFi and a flat-screen TV. The property is close to Via Condotti, Villa Borghese and Piazza di Spagna. The property is less than 1 km from the city centre and a 7-minute walk from Spagna Metro Station.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchenette with a microwave and a coffee machine, and 1 bathroom with a bidet and a hair dryer. Towels and bed linen are offered in the apartment. For added privacy, the accommodation features a private entrance.

Popular points of interest near the apartment include Barberini Metro Station, Repubblica - Teatro dell'Opera Metro Station and Quirinal Hill. The nearest airport is Rome Ciampino Airport, 15 km from Cozy Apartment Della Purificazione 68.","€ 1,303"
272,HostMe Piazza di Spagna apartament,8.0,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 70m²
2 beds (1 sofa bed, 1 large double)
Only 1 left at this price on our site","€ 1,207","Spagna, RomeShow on map1 km from centreMetro access","You're eligible for a Genius discount at HostMe Piazza di Spagna apartament! To save at this property, all you have to do is sign in.
In the heart of Rome, set within a short distance of Barberini Metro Station and Piazza Barberini, HostMe Piazza di Spagna apartament offers free WiFi, air conditioning and household amenities such as a microwave and coffee machine. The property has city views and is 800 metres from Quirinal Hill and 500 metres from Spagna Metro Station. The accommodation offers airport transfers, while a bicycle rental service is also available.

The spacious apartment features 1 bedroom, a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a walk-in shower. Towels and bed linen are featured in the apartment. This apartment is allergy-free and non-smoking.

Popular points of interest near the apartment include Repubblica - Teatro dell'Opera Metro Station, Spanish Steps and Trevi Fountain. The nearest airport is Rome Ciampino Airport, 15 km from HostMe Piazza di Spagna apartament.","€ 1,153"
273,HostMe Piazza di Spagna apartament,8.0,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 70m²
2 beds (1 sofa bed, 1 large double)
Only 1 left at this price on our site","€ 1,207","Spagna, RomeShow on map1 km from centreMetro access","You're eligible for a Genius discount at HostMe Piazza di Spagna apartament! To save at this property, all you have to do is sign in.
In the heart of Rome, set within a short distance of Barberini Metro Station and Piazza Barberini, HostMe Piazza di Spagna apartament offers free WiFi, air conditioning and household amenities such as a microwave and coffee machine. The property has city views and is 800 metres from Quirinal Hill and 500 metres from Spagna Metro Station. The accommodation offers airport transfers, while a bicycle rental service is also available.

The spacious apartment features 1 bedroom, a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a walk-in shower. Towels and bed linen are featured in the apartment. This apartment is allergy-free and non-smoking.

Popular points of interest near the apartment include Repubblica - Teatro dell'Opera Metro Station, Spanish Steps and Trevi Fountain. The nearest airport is Rome Ciampino Airport, 15 km from HostMe Piazza di Spagna apartament.","€ 1,153"
287,Lovely apartment with terrace near the Vatican,,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 90m²
4 beds (2 singles, 1 sofa bed, 1 large double)
Only 1 left at this price on our site","€ 1,211","Aurelio, RomeShow on map3.6 km from centreMetro access","Situated in Rome, 2 km from Ottaviano Metro Station and 2.6 km from Lepanto Metro Station, Lovely apartment with terrace near the Vatican offers air conditioning. It is located 2.7 km from St. Peter's Basilica and features private check-in and check-out. Free WiFi is available throughout the property and Vatican Museums is 1.7 km away.

The spacious apartment features 2 bedrooms, 2 bathrooms, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchenette, and a terrace with inner courtyard views. Guests can enjoy a meal on an outdoor dining area while overlooking the quiet street views. The accommodation is non-smoking.

Castel Sant'Angelo is 2.8 km from the apartment, while Battistini Metro Station is 3.2 km from the property. The nearest airport is Fiumicino, 25 km from Lovely apartment with terrace near the Vatican, and the property offers a paid airport shuttle service.","€ 1,152"
290,La Dimora di Piazza Navona,9.3,"Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 50m²
1 large double bed
Only 1 left at this price on our site","€ 1,395","Pantheon, RomeShow on map0.8 km from centre","Located in Rome, 280 metres from Piazza Navona and 1 km from Castel Sant'Angelo, La Dimora di Piazza Navona offers free WiFi and air conditioning. The property has city views and is 650 metres from Torre Argentina and 200 metres from Pantheon.

The apartment features 1 bedroom, a flat-screen TV, an equipped kitchen with a microwave and a fridge, a washing machine, and 1 bathroom with a bidet.

Popular points of interest near the apartment include Via Condotti, Palazzo Venezia and Piazza Venezia. The nearest airport is Rome Ciampino, 37 km from La Dimora di Piazza Navona, and the property offers a paid airport shuttle service.","€ 1,395"
291,San Pietro's Home,8.4,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 2 bathrooms • 55m²
2 beds (1 extra-large double, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site",€ 995,"Vaticano Prati, RomeShow on map2.5 km from centreMetro access","Set 20 metres from the Ottaviano metro stop, and 550 metres from Vatican City, San Pietro's Home offers self-catering accommodation with air conditioning. Free Wi-Fi is available.

The apartment features a seating area with a flat-screen TV, washing machine and 2 private bathrooms with a hairdryer and free toiletries. The kitchenette comes with a coffee machine and oven.

The property is located 4 km from the Colosseum, while Termini Train Station is a 10-minute drive away.",€ 995
294,a due passi da San Pietro,8.9,"Double Room with Private Bathroom
1 double bed
Free cancellation
Only 1 room left at this price on our site",€ 836,"Aurelio, RomeShow on map4.2 km from centreMetro access","You're eligible for a Genius discount at a due passi da San Pietro! To save at this property, all you have to do is sign in.
Surrounded by views of the city, a due passi da San Pietro is a sustainable guest house in Rome, offering guests an environmentally friendly accommodation close to Battistini Metro Station. It is located 3.2 km from St. Peter's Basilica and features a shared kitchen. The accommodation provides a 24-hour front desk and a lift for guests.

The units are equipped with air conditioning, a flat-screen TV with satellite channels, an oven, a coffee machine, a bidet, bathrobes and a desk. With a private bathroom equipped with a shower and a hair dryer, units at the guest house also provide guests with free WiFi, while some rooms will provide you with a balcony. At the guest house, all units include bed linen and towels.

If you prefer to cook in the comfort of your own place, you can make use of the kitchen facilities, which include a microwave, kettle and a toaster.

Vatican Museums is 3.3 km from the guest house, while Ottaviano Metro Station is 3.4 km away. The nearest airport is Fiumicino, 24 km from a due passi da San Pietro, and the property offers a paid airport shuttle service.",€ 796
295,Casa Valesio,9.4,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
2 beds (1 extra-large double, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site",€ 967,"San Giovanni, RomeShow on map3.8 km from centreMetro access","You're eligible for a Genius discount at Casa Valesio! To save at this property, all you have to do is sign in.
In the San Giovanni district of Rome, close to Ponte Lungo Metro Station, Casa Valesio features free WiFi and a washing machine. The property has garden views and is 2.3 km from Porta Maggiore and 3 km from Vittorio Emanuele Metro Station. The property is non-smoking and is located 1.6 km from San Giovanni Metro Station.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with an oven and a coffee machine, and 1 bathroom with a bidet and a hair dryer. Towels and bed linen are featured in the apartment.

Dining options are available close to the apartment.

Santa Maria Maggiore is 3.7 km from Casa Valesio, while Coliseum is 4 km away. The nearest airport is Rome Ciampino Airport, 10 km from the accommodation.",€ 909
297,Meravigliosa,,"Double Room
1 double bed
Free cancellation
Only 1 room left at this price on our site","€ 1,014","Via Veneto, RomeShow on map1.9 km from centre","In a central area of Rome, located within a short distance of Piazza Barberini and Repubblica - Teatro dell'Opera Metro Station, Meravigliosa offers free WiFi, air conditioning and household amenities such as a dishwasher and coffee machine. It is situated less than 1 km from Rome Termini Metro Station and provides a lift. The property is non-smoking and is set 1 km from Barberini Metro Station.

The spacious homestay is equipped with a flat-screen TV. The kitchen comes with a microwave, a toaster and a fridge and there is a private bathroom with a hair dryer and free toiletries. Additional in-room amenities include chocolates or cookies.

Popular points of interest near the homestay include Rome Termini Train Station, Spagna Metro Station and Quirinal Hill. The nearest airport is Rome Ciampino Airport, 15 km from Meravigliosa.","€ 1,014"
298,Mama Roma Domus,9.1,"Triple Room with Private Bathroom
2 beds (1 single, 1 large double)
Breakfast included
Free cancellation
Only 3 rooms left at this price on our site","€ 1,066","Esquilino, RomeShow on map1.8 km from centreMetro access","Offering accommodation with free WiFi, air conditioning and flat-screen TV, Mama Roma Domus is set 600 meters from Domus Aurea and 700 meters from Santa Maria Maggiore.

An Italian breakfast is available every morning at the bed and breakfast.

Porta Maggiore is 1.9 km from Mama Roma Domus, while Coliseum is 600 meters from the property. The nearest airport is Rome Ciampino Airport, 14 km from the accommodation.","€ 1,066"
299,Gens Julia,9.4,"Studio Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 42m²
2 beds (1 double, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site","€ 1,366","Rione Monti, RomeShow on map0.6 km from centreMetro access","Surrounded by views of the inner courtyard, Gens Julia is a sustainable apartment in Rome, offering guests an environmentally friendly accommodation close to Colosseo Metro Station. Complimentary WiFi is offered throughout the property and private parking is available on site. The property is less than 1 km from the city centre and a 4-minute walk from Cavour Metro Station.

The units at the apartment complex come with air conditioning, a seating area, a flat-screen TV with streaming services, a kitchen, a dining area, a safety deposit box and a private bathroom with a bidet, a hair dryer and free toiletries. A dishwasher, a microwave and toaster are also provided, as well as a coffee machine and a kettle. At the apartment complex, all units come with bed linen and towels.

If you would like to discover the area, cycling is possible in the surroundings and the apartment can arrange a bicycle rental service.

Popular points of interest near Gens Julia include Domus Aurea, Coliseum and Santa Maria Maggiore. The nearest airport is Rome Ciampino, 14 km from the accommodation, and the property offers a paid airport shuttle service.","€ 1,353"
